,Unnamed: 0,FFMC,DMC,DC,ISI,temp,RH,wind,rain,class
68,0,90.1,51.2,424.1,6.2,24.6,43.0,1.8,0.0,1.0
69,511,91.6,248.4,753.8,6.3,20.4,56.0,2.2,0.0,0.0
70,568,65.7,3.4,7.6,1.3,29.0,57.0,18.0,0.0,0.0
71,356,93.5,149.3,728.6,8.1,22.9,39.0,4.9,0.0,1.0
72,226,93.7,231.1,715.1,8.4,18.9,64.0,4.9,0.0,0.0
73,343,79.9,18.4,84.4,2.2,32.0,47.0,13.0,0.3,0.0
74,442,88.6,29.6,141.1,9.2,36.0,58.0,19.0,0.0,1.0
75,504,94.8,222.4,698.6,13.9,23.9,38.0,6.7,0.0,0.0
76,482,90.1,37.6,83.7,7.2,12.4,54.0,3.6,0.0,1.0
77,485,90.3,22.2,108.5,8.7,36.0,48.0,13.0,0.0,1.0
78,542,85.4,16.0,44.5,4.5,30.0,65.0,14.0,0.0,1.0
79,162,91.6,112.4,573.0,8.9,21.4,42.0,3.1,0.0,1.0
80,463,92.9,133.3,699.6,9.2,21.9,35.0,1.8,0.0,1.0
81,35,91.2,124.4,795.3,8.5,21.5,28.0,4.5,0.0,1.0
82,298,85.2,11.3,10.4,4.2,39.0,45.0,13.0,0.6,1.0
83,418,90.9,126.5,686.5,7.0,21.9,39.0,1.8,0.0,1.0
84,556,92.9,137.0,706.4,9.2,22.1,34.0,1.8,0.0,1.0
85,364,82.4,15.6,92.5,3.7,36.0,55.0,13.0,0.3,1.0
86,502,80.2,11.7,90.4,2.8,36.0,61.0,18.0,0.3,1.0
87,211,59.9,2.2,8.9,0.7,33.0,73.0,12.0,1.8,0.0
88,90,90.4,89.5,290.8,6.4,15.4,45.0,2.2,0.0,0.0
89,591,94.4,146.0,614.7,11.3,25.6,42.0,4.0,0.0,0.0
90,180,89.1,20.9,43.3,8.0,36.0,55.0,15.0,0.0,1.0
91,98,83.9,24.9,86.0,2.7,29.0,41.0,8.0,0.1,1.0
92,19,75.1,4.4,16.2,1.9,5.1,77.0,5.4,0.0,1.0
93,357,92.2,81.8,480.8,11.9,20.1,34.0,4.5,0.0,1.0
94,157,93.7,101.3,458.8,11.9,19.3,39.0,7.2,0.0,1.0
95,167,87.2,15.1,36.9,7.1,10.2,45.0,5.8,0.0,1.0
96,66,86.0,36.9,117.1,5.1,36.0,71.0,15.0,0.0,1.0
97,139,94.2,122.3,589.9,12.9,15.4,66.0,4.0,0.0,1.0
98,65,90.3,290.0,855.3,7.4,19.9,44.0,3.1,0.0,1.0
99,537,88.9,26.1,106.3,7.1,33.0,64.0,13.0,0.0,1.0
100,81,84.3,12.5,88.7,4.8,31.0,65.0,18.0,0.0,1.0
101,51,90.9,18.9,30.6,8.0,11.6,48.0,5.4,0.0,0.0
102,209,73.9,7.8,22.9,1.4,34.0,61.0,13.0,0.6,0.0
103,161,90.1,12.6,19.4,8.3,36.0,44.0,13.0,0.0,1.0
104,60,83.0,23.3,85.3,2.3,16.7,20.0,3.1,0.0,0.0
105,467,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,1.0
106,370,92.5,121.1,674.4,8.6,25.1,27.0,4.0,0.0,1.0
107,82,91.6,104.2,474.9,9.0,24.2,32.0,1.8,0.0,0.0
108,5,92.1,152.6,658.2,14.3,19.1,53.0,2.7,0.0,1.0
109,269,91.4,142.4,601.4,10.6,19.6,41.0,5.8,0.0,1.0
110,178,93.7,231.1,715.1,8.4,21.9,42.0,2.2,0.0,1.0
111,83,92.5,122.0,789.7,10.2,19.7,39.0,2.7,0.0,0.0
112,138,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,1.0
113,72,91.2,46.1,137.7,11.5,36.0,43.0,16.0,0.0,1.0
114,189,91.6,248.4,753.8,6.3,20.4,56.0,2.2,0.0,0.0
115,296,93.7,231.1,715.1,8.4,26.4,33.0,3.6,0.0,0.0
116,68,91.0,129.5,692.6,7.0,21.6,33.0,2.2,0.0,1.0
117,563,95.1,141.3,605.8,17.7,28.7,33.0,4.0,0.0,0.0
118,478,81.4,12.3,62.1,2.8,33.0,65.0,15.0,0.1,1.0
119,256,90.6,50.1,100.4,7.8,15.2,31.0,8.5,0.0,1.0
120,214,91.5,130.1,807.1,7.5,15.9,51.0,4.5,0.0,1.0
121,550,82.2,4.4,24.3,3.3,28.0,75.0,16.0,0.0,1.0
122,108,93.4,17.3,28.3,9.9,8.9,35.0,8.0,0.0,0.0
123,613,91.7,35.8,80.8,7.8,17.0,27.0,4.9,0.0,1.0
124,513,87.2,31.9,145.7,6.8,35.0,64.0,17.0,0.0,1.0
125,267,81.0,6.3,31.6,2.6,30.0,78.0,14.0,0.0,1.0
126,592,92.1,99.0,745.3,9.6,20.8,35.0,4.9,0.0,1.0
127,583,94.8,108.3,647.1,17.0,17.4,43.0,6.7,0.0,1.0
128,282,84.7,8.2,55.0,2.9,14.2,46.0,4.0,0.0,0.0
129,190,91.6,104.2,474.9,9.0,18.7,53.0,1.8,0.0,0.0
130,566,59.9,2.5,8.6,1.1,29.0,68.0,19.0,1.0,0.0
131,268,86.2,17.9,36.7,4.8,37.0,36.0,13.0,0.6,1.0
132,110,79.2,6.5,16.6,2.1,30.0,73.0,14.0,0.0,0.0
133,421,88.9,43.9,181.3,8.2,35.0,60.0,15.0,0.0,1.0
134,147,92.9,133.3,699.6,9.2,19.4,19.0,1.3,0.0,1.0
135,340,95.1,141.3,605.8,17.7,26.4,34.0,3.6,0.0,1.0
136,575,73.4,16.4,79.9,1.8,28.0,79.0,18.0,0.1,0.0
137,304,91.6,181.3,613.0,7.6,24.8,36.0,4.0,0.0,1.0
138,281,91.5,130.1,807.1,7.5,21.3,35.0,2.2,0.0,1.0
139,612,81.3,15.6,75.1,2.5,35.0,51.0,13.0,0.3,0.0
140,576,90.7,194.1,643.0,6.8,21.3,41.0,3.6,0.0,0.0
141,491,89.0,21.6,80.3,9.2,34.0,53.0,18.0,0.0,1.0
142,354,91.9,111.7,770.3,6.5,15.7,51.0,2.2,0.0,0.0
143,120,91.9,22.3,55.5,10.8,37.0,40.0,13.0,0.0,1.0
144,44,56.9,1.9,8.0,0.7,31.0,78.0,14.0,0.3,0.0
145,428,59.8,3.4,27.1,0.9,30.0,80.0,16.0,0.4,0.0
146,151,91.8,175.1,700.7,13.8,26.8,38.0,6.3,0.0,1.0
147,73,84.7,9.7,27.3,4.7,34.0,56.0,17.0,0.1,1.0
148,405,88.9,40.5,171.3,9.0,34.0,64.0,14.0,0.0,1.0
149,206,95.2,131.7,578.8,10.4,27.4,22.0,4.0,0.0,1.0
150,335,89.1,25.5,88.5,7.6,32.0,55.0,14.0,0.0,1.0
151,136,37.9,0.9,8.2,0.1,29.0,86.0,16.0,0.0,0.0
152,48,92.8,119.0,783.5,7.5,18.9,34.0,7.2,0.0,1.0
153,336,87.9,84.8,725.1,3.7,21.8,34.0,2.2,0.0,1.0
154,522,30.5,0.7,7.0,0.0,22.0,86.0,15.0,10.1,0.0
155,585,94.8,222.4,698.6,13.9,26.2,34.0,5.8,0.0,0.0
156,272,91.6,108.4,764.0,6.2,23.0,34.0,2.2,0.0,1.0
157,398,72.3,11.4,7.8,1.4,30.0,52.0,15.0,2.0,0.0
158,1,79.7,4.3,15.2,1.7,24.0,54.0,18.0,0.1,0.0
159,143,87.8,16.5,34.5,7.0,36.0,62.0,16.0,0.0,1.0
160,425,91.0,163.2,744.4,10.1,26.7,35.0,1.8,0.0,1.0
161,135,92.2,102.3,751.5,8.4,21.2,32.0,2.2,0.0,0.0
162,196,92.1,207.0,672.6,8.2,25.5,29.0,1.8,0.0,1.0
163,24,83.8,13.5,49.3,4.5,28.0,84.0,18.0,0.0,1.0
164,199,41.1,6.5,8.0,0.1,28.0,87.0,15.0,4.4,0.0
165,380,92.6,115.4,777.1,8.8,19.7,41.0,1.8,0.0,1.0
166,599,89.5,37.6,161.5,10.4,36.0,53.0,16.0,0.0,1.0
167,58,91.0,166.9,752.6,7.1,25.9,41.0,3.6,0.0,0.0
168,334,64.4,4.1,7.6,1.0,29.0,61.0,13.0,1.3,0.0
169,379,93.1,157.3,666.7,13.5,28.7,28.0,2.7,0.0,0.0
170,487,74.8,7.1,9.5,1.6,34.0,56.0,15.0,2.9,0.0
171,56,91.0,129.5,692.6,7.0,18.8,40.0,2.2,0.0,1.0
172,99,93.9,169.7,411.8,12.3,23.4,40.0,6.3,0.0,0.0
173,426,90.3,290.0,855.3,7.4,16.2,58.0,3.6,0.0,1.0
174,182,92.9,133.3,699.6,9.2,26.4,21.0,4.5,0.0,1.0
175,197,90.5,18.0,24.1,10.9,34.0,45.0,17.0,0.0,1.0
176,423,45.9,3.5,7.9,0.4,27.0,87.0,29.0,0.5,0.0
177,561,91.8,175.1,700.7,13.8,22.4,54.0,7.6,0.0,1.0
178,141,77.8,10.6,41.4,2.4,31.0,50.0,19.0,0.6,0.0
179,250,69.7,7.2,9.8,1.2,34.0,63.0,13.0,2.9,0.0
180,306,81.8,9.7,37.2,3.0,34.0,81.0,15.0,0.0,0.0
181,57,57.1,2.5,8.2,0.6,32.0,71.0,12.0,0.7,0.0
182,74,92.1,152.6,658.2,14.3,20.2,47.0,4.0,0.0,1.0
183,259,91.0,14.6,25.6,12.3,13.7,33.0,9.4,0.0,1.0
184,221,93.1,157.3,666.7,13.5,22.1,37.0,3.6,0.0,1.0
185,608,68.3,5.5,15.2,1.5,29.0,65.0,19.0,0.6,0.0
186,539,85.6,90.4,609.6,6.6,17.4,50.0,4.0,0.0,1.0
187,179,92.4,117.9,668.0,12.2,19.6,33.0,6.3,0.0,1.0
188,137,91.0,129.5,692.6,7.0,21.7,38.0,2.2,0.0,1.0
189,146,87.6,52.2,103.8,5.0,11.0,46.0,5.8,0.0,1.0
190,261,94.3,167.6,684.4,13.0,21.8,53.0,3.1,0.0,1.0
191,564,92.7,164.1,575.8,8.9,26.3,39.0,3.1,0.0,1.0
192,546,88.0,13.6,36.8,8.0,34.0,58.0,18.0,0.0,1.0
193,586,90.1,108.0,529.8,12.5,21.2,51.0,8.9,0.0,1.0
194,63,92.9,137.0,706.4,9.2,21.5,15.0,0.9,0.0,1.0
195,435,92.9,133.3,699.6,9.2,24.3,25.0,4.0,0.0,1.0
196,412,91.0,276.3,825.1,7.1,21.9,43.0,4.0,0.0,1.0
197,323,92.1,99.0,745.3,9.6,19.8,47.0,2.7,0.0,1.0
198,308,90.1,82.9,735.7,6.2,18.3,45.0,2.2,0.0,1.0
199,332,87.1,291.3,860.6,4.0,17.0,67.0,4.9,0.0,1.0
200,382,79.2,37.0,166.0,2.1,35.0,56.0,14.0,0.4,0.0
201,430,85.8,45.6,190.6,4.7,31.0,78.0,18.0,0.0,1.0
202,299,93.7,17.1,32.1,17.2,39.0,33.0,17.0,0.0,1.0
203,447,47.1,2.5,7.1,0.3,26.0,82.0,22.0,13.1,0.0
204,87,92.0,203.2,664.5,8.1,10.4,75.0,0.9,0.0,0.0
205,582,96.1,181.1,671.2,14.3,21.6,65.0,4.9,0.8,0.0
206,253,80.2,20.7,149.2,2.7,35.0,53.0,17.0,0.5,1.0
207,237,84.7,15.5,45.1,4.3,35.0,42.0,15.0,0.3,1.0
208,466,93.7,231.1,715.1,8.4,23.6,53.0,4.0,0.0,1.0
209,242,92.2,102.3,751.5,8.4,24.1,27.0,3.1,0.0,0.0
210,324,92.2,102.3,751.5,8.4,19.7,35.0,1.8,0.0,0.0
211,552,90.7,136.9,822.8,6.8,12.9,39.0,2.7,0.0,1.0
212,496,91.0,65.9,177.3,10.0,36.0,54.0,14.0,0.0,1.0
213,128,61.3,11.9,28.1,0.6,26.0,49.0,6.0,2.0,0.0
214,559,95.2,217.7,690.0,18.0,23.4,49.0,5.4,0.0,1.0
215,29,63.5,70.8,665.3,0.8,22.6,38.0,3.6,0.0,1.0
216,235,90.1,68.6,355.2,7.2,24.8,29.0,2.2,0.0,1.0
217,507,66.6,7.7,9.2,1.1,32.0,68.0,14.0,1.4,0.0
218,77,92.4,96.2,739.4,8.6,19.2,24.0,4.9,0.0,1.0
219,330,65.5,4.6,8.3,0.9,33.0,62.0,10.0,8.7,0.0
220,171,80.0,9.7,40.4,2.8,35.0,64.0,18.0,0.2,0.0
221,101,89.3,12.5,41.3,7.8,29.0,57.0,14.0,0.0,1.0
222,195,95.1,141.3,605.8,17.7,19.4,71.0,7.6,0.0,1.0
223,46,91.2,94.3,744.4,8.4,22.3,48.0,4.0,0.0,1.0
224,372,93.7,101.3,423.4,14.7,26.1,45.0,4.0,0.0,1.0
225,595,91.6,104.2,474.9,9.0,24.3,30.0,1.8,0.0,0.0
226,315,60.2,3.8,8.0,0.8,31.0,72.0,14.0,0.2,0.0
227,155,94.2,22.5,46.3,16.6,40.0,31.0,15.0,0.0,1.0
228,165,91.0,166.9,752.6,7.1,21.1,71.0,7.6,1.4,1.0
229,344,85.3,10.0,17.0,4.9,35.0,68.0,16.0,0.0,1.0
230,480,91.8,175.1,700.7,13.8,21.9,73.0,7.6,1.0,0.0
231,187,92.5,122.0,789.7,10.2,21.1,39.0,2.2,0.0,1.0
232,409,90.1,39.7,86.6,6.2,13.2,40.0,5.4,0.0,1.0
233,91,92.1,152.6,658.2,14.3,20.1,58.0,4.5,0.0,1.0
234,402,89.1,33.5,151.3,9.9,36.0,55.0,18.0,0.0,1.0
235,17,90.2,99.6,631.2,6.3,16.2,59.0,3.1,0.0,1.0
236,69,85.4,28.5,136.0,4.7,31.0,79.0,15.0,0.0,1.0
237,228,89.9,32.7,71.0,9.5,36.0,50.0,16.0,0.0,1.0
238,331,40.9,1.3,7.5,0.1,25.0,86.0,21.0,4.6,0.0
239,303,91.1,91.3,738.1,7.2,19.1,46.0,2.2,0.0,1.0
240,449,91.2,94.3,744.4,8.4,15.4,57.0,4.9,0.0,1.0
241,217,88.2,96.2,229.0,4.7,14.3,79.0,4.0,0.0,1.0
242,305,91.6,108.4,764.0,6.2,22.7,35.0,2.2,0.0,1.0
243,104,52.9,7.9,38.8,0.4,25.0,88.0,13.0,0.2,0.0
244,20,92.5,121.1,674.4,8.6,17.7,25.0,3.1,0.0,1.0
245,32,93.6,97.9,542.0,14.4,28.3,32.0,4.0,0.0,1.0
246,264,91.8,170.9,692.3,13.7,23.7,40.0,1.8,0.0,1.0
247,13,93.0,18.4,41.5,15.5,39.0,21.0,17.0,0.4,1.0
248,420,93.9,21.2,59.2,14.2,33.0,26.0,13.0,0.0,1.0
249,53,92.1,99.0,745.3,9.6,20.8,35.0,4.9,0.0,1.0
250,38,55.7,2.4,8.3,0.8,27.0,75.0,19.0,1.2,0.0
251,390,36.1,1.7,7.6,0.0,29.0,89.0,13.0,0.7,0.0
252,503,92.1,207.0,672.6,8.2,26.8,35.0,1.3,0.0,1.0
253,109,94.0,47.9,100.7,10.7,17.3,80.0,4.5,0.0,0.0
254,289,81.9,3.0,7.9,3.5,13.4,75.0,1.8,0.0,0.0
255,570,90.3,290.0,855.3,7.4,10.3,78.0,4.0,0.0,1.0
256,11,91.4,142.4,601.4,10.6,20.1,39.0,5.4,0.0,1.0
257,374,87.6,7.9,17.8,6.8,33.0,48.0,16.0,0.0,1.0
258,186,86.5,24.4,117.8,5.6,33.0,76.0,15.0,0.0,1.0
259,444,64.8,3.0,14.2,1.2,27.0,77.0,16.0,0.0,0.0
260,94,85.8,48.3,313.4,3.9,18.0,42.0,2.7,0.0,1.0
261,396,77.1,6.0,17.6,1.8,32.0,60.0,14.0,0.2,0.0
262,183,90.7,44.0,92.4,5.5,11.5,60.0,4.0,0.0,1.0
263,292,90.9,18.9,30.6,8.0,8.7,51.0,5.8,0.0,0.0
264,320,90.6,269.8,811.2,5.5,22.2,45.0,3.6,0.0,0.0
265,283,42.6,1.2,7.5,0.1,25.0,78.0,15.0,3.8,0.0
266,456,96.2,175.5,661.8,16.8,23.9,42.0,2.2,0.0,0.0
267,325,91.9,109.2,565.5,8.0,21.4,38.0,2.7,0.0,1.0
268,493,94.9,130.3,587.1,14.1,31.0,27.0,5.4,0.0,0.0
269,578,89.6,25.4,73.7,5.7,18.0,40.0,4.0,0.0,1.0
270,589,79.5,3.6,15.3,1.8,4.6,59.0,0.9,0.0,1.0
271,508,91.6,108.4,764.0,6.2,19.3,44.0,2.2,0.0,1.0
272,257,91.6,248.4,753.8,6.3,16.6,59.0,2.7,0.0,0.0
273,278,91.2,124.4,795.3,8.5,17.1,41.0,2.2,0.0,1.0
274,441,86.7,14.2,63.8,5.7,31.0,64.0,15.0,0.0,1.0
275,468,89.5,41.1,127.5,8.0,37.0,53.0,14.0,0.0,1.0
276,603,86.6,12.1,38.3,5.6,30.0,73.0,15.0,0.0,1.0
277,163,95.1,141.3,605.8,17.7,20.6,58.0,1.3,0.0,0.0
278,352,91.7,35.8,80.8,7.8,17.0,27.0,4.9,0.0,1.0
279,97,87.6,52.2,103.8,5.0,11.0,46.0,5.8,0.0,1.0
280,471,92.1,152.6,658.2,14.3,21.8,56.0,3.1,0.0,1.0
281,133,87.0,10.9,37.0,5.6,32.0,63.0,14.0,0.0,1.0
282,62,50.4,46.2,706.6,0.4,12.2,78.0,6.3,0.0,0.0
283,395,90.4,89.5,290.8,6.4,14.3,46.0,1.8,0.0,1.0
284,392,86.8,11.1,29.7,5.2,34.0,65.0,13.0,0.0,1.0
285,362,84.6,3.2,43.6,3.3,8.2,53.0,9.4,0.0,1.0
286,254,93.7,102.2,550.3,14.6,22.1,54.0,7.6,0.0,1.0
287,427,90.2,18.5,41.1,7.3,11.2,41.0,5.4,0.0,1.0
288,172,87.4,14.8,57.0,6.9,35.0,59.0,17.0,0.0,1.0
289,432,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,1.0
290,558,87.5,77.0,694.8,5.0,22.3,46.0,4.0,0.0,0.0
291,232,91.6,104.2,474.9,9.0,25.3,39.0,0.9,0.0,1.0
292,76,92.1,152.6,658.2,14.3,23.7,24.0,3.1,0.0,0.0
293,249,91.9,133.6,520.5,8.0,14.2,58.0,4.0,0.0,0.0
294,488,89.2,17.1,98.6,10.0,36.0,53.0,19.0,0.0,1.0
295,310,93.1,157.3,666.7,13.5,21.7,40.0,0.4,0.0,1.0
296,410,93.4,145.4,721.4,8.1,29.6,27.0,2.7,0.0,1.0
297,408,92.1,111.2,654.1,9.6,20.5,35.0,4.0,0.0,1.0
298,132,92.1,99.0,745.3,9.6,10.1,75.0,3.6,0.0,0.0
299,205,92.3,88.8,440.9,8.5,17.1,67.0,3.6,0.0,1.0
300,516,84.2,8.3,25.2,3.8,31.0,72.0,14.0,0.0,1.0
301,42,89.4,253.6,768.4,9.7,14.2,73.0,2.7,0.0,0.0
302,527,77.5,8.0,9.5,2.0,34.0,51.0,16.0,3.8,0.0
303,419,86.1,23.9,51.6,5.2,33.0,68.0,15.0,0.0,1.0
304,565,91.5,238.2,730.6,7.5,17.7,65.0,4.0,0.0,0.0
305,532,78.3,4.4,10.5,2.0,38.0,52.0,14.0,0.0,0.0
306,204,90.1,54.2,220.4,12.5,35.0,48.0,18.0,0.0,1.0
307,524,85.1,28.0,113.8,3.5,11.3,94.0,4.9,0.0,0.0
308,114,91.0,166.9,752.6,7.1,25.9,41.0,3.6,0.0,0.0
309,378,92.2,102.3,751.5,8.4,23.5,27.0,4.0,0.0,1.0
310,271,96.0,127.1,570.5,16.5,23.4,33.0,4.5,0.0,1.0
311,260,89.4,9.8,33.1,6.8,32.0,49.0,11.0,0.0,1.0
312,547,94.3,85.1,692.3,15.9,20.1,47.0,4.9,0.0,1.0
313,519,91.6,100.2,466.3,6.3,22.9,40.0,1.3,0.0,1.0
314,177,92.0,22.6,65.1,9.5,40.0,41.0,10.0,0.1,1.0
315,461,91.9,111.7,770.3,6.5,19.6,45.0,3.1,0.0,1.0
316,530,91.0,129.5,692.6,7.0,13.9,59.0,6.3,0.0,1.0
317,59,93.9,39.6,80.6,18.5,36.0,29.0,18.0,0.0,1.0
318,436,92.1,99.0,745.3,9.6,18.7,50.0,2.2,0.0,1.0
319,411,95.2,217.7,690.0,18.0,30.8,19.0,4.5,0.0,0.0
320,534,79.5,3.0,106.7,1.1,11.8,31.0,4.5,0.0,0.0
321,64,89.3,16.0,100.7,9.7,37.0,52.0,18.0,0.0,1.0
322,279,92.4,105.8,758.1,9.9,16.0,45.0,1.8,0.0,0.0
323,377,93.3,141.2,713.9,13.9,18.6,49.0,3.6,0.0,1.0
324,416,88.9,23.8,57.1,8.2,36.0,56.0,16.0,0.0,1.0
325,158,92.5,25.2,63.3,11.2,34.0,44.0,12.0,0.0,1.0
326,28,81.6,56.7,665.6,1.9,27.8,35.0,2.7,0.0,0.0
327,37,91.6,104.2,474.9,9.0,22.1,49.0,2.7,0.0,0.0
328,230,90.6,25.8,77.8,9.0,36.0,33.0,13.0,0.1,1.0
329,85,84.1,4.6,46.7,2.2,5.3,68.0,1.8,0.0,0.0
330,505,95.2,131.7,578.8,10.4,20.7,45.0,2.2,0.0,1.0
331,9,91.9,111.7,770.3,6.5,21.1,35.0,2.7,0.0,1.0
332,258,93.4,145.4,721.4,8.1,28.6,27.0,2.2,0.0,1.0
333,126,88.9,263.1,795.9,5.2,29.3,27.0,3.6,0.0,1.0
334,520,92.1,99.0,745.3,9.6,10.1,75.0,3.6,0.0,1.0
335,318,86.2,8.3,18.4,5.0,32.0,55.0,14.0,0.0,1.0
336,238,85.0,9.0,56.9,3.5,10.1,62.0,1.8,0.0,1.0
337,191,90.1,39.7,86.6,6.2,16.1,29.0,3.1,0.0,1.0
338,429,87.0,21.7,94.7,5.7,33.0,66.0,14.0,0.0,1.0
339,581,86.6,26.7,127.0,5.6,32.0,73.0,15.0,0.0,1.0
340,348,92.1,99.0,745.3,9.6,17.4,57.0,4.5,0.0,0.0
341,422,88.8,147.3,614.5,9.0,14.4,66.0,5.4,0.0,1.0
342,473,82.8,9.4,34.1,3.2,29.0,70.0,14.0,0.0,1.0
343,117,84.7,26.7,352.6,4.1,2.2,59.0,4.9,0.0,1.0
344,414,80.0,11.8,28.3,2.8,29.0,87.0,18.0,0.0,0.0
345,403,89.7,90.0,704.4,4.8,17.8,67.0,2.2,0.0,1.0
346,440,94.3,35.9,86.8,16.0,37.0,37.0,14.0,0.0,1.0
347,276,92.1,207.0,672.6,8.2,21.1,54.0,2.2,0.0,0.0
