,FFMC,DMC,DC,ISI,temp,RH,wind,rain,class
156,91.6,181.3,613.0,7.6,19.3,61.0,4.9,0.0,0.0
157,93.7,101.3,458.8,11.9,19.3,39.0,7.2,0.0,1.0
158,92.5,25.2,63.3,11.2,34.0,44.0,12.0,0.0,1.0
159,91.6,248.4,753.8,6.3,20.5,58.0,2.7,0.0,1.0
160,81.6,56.7,665.6,1.9,27.8,32.0,2.7,0.0,1.0
161,90.1,12.6,19.4,8.3,36.0,44.0,13.0,0.0,1.0
162,91.6,112.4,573.0,8.9,21.4,42.0,3.1,0.0,1.0
163,95.1,141.3,605.8,17.7,20.6,58.0,1.3,0.0,0.0
164,81.1,8.1,18.7,2.6,33.0,76.0,14.0,0.0,0.0
165,91.0,166.9,752.6,7.1,21.1,71.0,7.6,1.4,1.0
166,91.0,276.3,825.1,7.1,14.5,76.0,7.6,0.0,1.0
167,87.2,15.1,36.9,7.1,10.2,45.0,5.8,0.0,1.0
168,87.5,15.7,37.6,6.7,33.0,57.0,16.0,0.0,1.0
169,73.8,11.7,15.9,1.1,39.0,64.0,9.0,1.2,0.0
170,75.1,4.4,16.2,1.9,4.6,82.0,6.3,0.0,1.0
171,80.0,9.7,40.4,2.8,35.0,64.0,18.0,0.2,0.0
172,87.4,14.8,57.0,6.9,35.0,59.0,17.0,0.0,1.0
173,81.4,8.2,47.7,3.3,32.0,62.0,18.0,0.1,1.0
174,79.7,12.0,8.5,2.2,34.0,42.0,15.0,1.7,0.0
175,81.6,56.7,665.6,1.9,21.2,70.0,6.7,0.0,1.0
176,90.5,18.7,46.4,11.3,34.0,45.0,18.0,0.0,1.0
177,92.0,22.6,65.1,9.5,40.0,41.0,10.0,0.1,1.0
178,93.7,231.1,715.1,8.4,21.9,42.0,2.2,0.0,1.0
179,92.4,117.9,668.0,12.2,19.6,33.0,6.3,0.0,1.0
180,89.1,20.9,43.3,8.0,36.0,55.0,15.0,0.0,1.0
181,49.4,3.0,7.4,0.4,28.0,80.0,17.0,3.1,0.0
182,92.9,133.3,699.6,9.2,26.4,21.0,4.5,0.0,1.0
183,90.7,44.0,92.4,5.5,11.5,60.0,4.0,0.0,1.0
184,68.2,10.5,71.3,1.8,27.0,66.0,22.0,0.4,0.0
185,78.3,8.1,8.3,1.9,33.0,46.0,14.0,1.1,0.0
186,86.5,24.4,117.8,5.6,33.0,76.0,15.0,0.0,1.0
187,92.5,122.0,789.7,10.2,21.1,39.0,2.2,0.0,1.0
188,86.8,15.6,48.3,3.9,12.4,53.0,2.2,0.0,1.0
189,91.6,248.4,753.8,6.3,20.4,56.0,2.2,0.0,0.0
190,91.6,104.2,474.9,9.0,18.7,53.0,1.8,0.0,0.0
191,90.1,39.7,86.6,6.2,16.1,29.0,3.1,0.0,1.0
192,94.9,130.3,587.1,14.1,23.4,40.0,5.8,0.0,1.0
193,92.4,105.8,758.1,9.9,24.8,28.0,1.8,0.0,1.0
194,70.0,9.6,79.7,1.4,28.0,78.0,16.0,0.1,0.0
195,95.1,141.3,605.8,17.7,19.4,71.0,7.6,0.0,1.0
196,92.1,207.0,672.6,8.2,25.5,29.0,1.8,0.0,1.0
197,90.5,18.0,24.1,10.9,34.0,45.0,17.0,0.0,1.0
198,91.8,175.1,700.7,13.8,25.7,39.0,5.4,0.0,1.0
199,41.1,6.5,8.0,0.1,28.0,87.0,15.0,4.4,0.0
200,95.9,158.0,633.6,11.3,32.4,27.0,2.2,0.0,0.0
201,91.7,16.5,30.9,9.6,39.0,43.0,12.0,0.0,1.0
202,95.0,135.5,596.3,21.3,30.6,28.0,3.6,0.0,1.0
203,90.5,61.1,252.6,9.4,24.5,50.0,3.1,0.0,1.0
204,90.1,54.2,220.4,12.5,35.0,48.0,18.0,0.0,1.0
205,92.3,88.8,440.9,8.5,17.1,67.0,3.6,0.0,1.0
206,95.2,131.7,578.8,10.4,27.4,22.0,4.0,0.0,1.0
207,79.1,7.0,39.5,2.4,31.0,67.0,17.0,0.1,0.0
208,82.6,5.8,22.2,3.1,31.0,67.0,14.0,0.0,1.0
209,73.9,7.8,22.9,1.4,34.0,61.0,13.0,0.6,0.0
210,92.8,119.0,783.5,7.5,16.8,28.0,4.0,0.0,1.0
211,59.9,2.2,8.9,0.7,33.0,73.0,12.0,1.8,0.0
212,89.0,29.4,115.6,7.5,35.0,56.0,14.0,0.0,1.0
213,89.6,84.1,714.3,5.7,17.1,53.0,5.4,0.0,1.0
214,91.5,130.1,807.1,7.5,15.9,51.0,4.5,0.0,1.0
215,89.3,28.3,67.2,8.3,37.0,55.0,15.0,0.0,1.0
216,80.1,4.6,18.5,2.7,33.0,78.0,17.0,0.0,0.0
217,88.2,96.2,229.0,4.7,14.3,79.0,4.0,0.0,1.0
218,48.7,2.2,7.6,0.3,29.0,80.0,14.0,2.0,0.0
219,93.5,85.3,395.0,9.9,27.2,28.0,1.3,0.0,1.0
220,85.9,11.2,55.8,5.6,32.0,66.0,17.0,0.0,1.0
221,93.1,157.3,666.7,13.5,22.1,37.0,3.6,0.0,1.0
222,46.0,1.3,7.5,0.2,25.0,76.0,17.0,7.2,0.0
223,91.2,94.3,744.4,8.4,16.8,47.0,4.9,0.0,1.0
224,87.8,16.5,57.9,5.4,31.0,55.0,11.0,0.0,1.0
225,92.5,121.1,674.4,8.6,17.8,56.0,1.8,0.0,1.0
226,93.7,231.1,715.1,8.4,18.9,64.0,4.9,0.0,0.0
227,91.6,181.3,613.0,7.6,24.6,44.0,4.0,0.0,1.0
228,89.9,32.7,71.0,9.5,36.0,50.0,16.0,0.0,1.0
229,88.0,17.2,43.5,3.8,15.2,51.0,2.7,0.0,0.0
230,90.6,25.8,77.8,9.0,36.0,33.0,13.0,0.1,1.0
231,84.5,19.4,33.1,4.7,31.0,83.0,17.0,0.0,1.0
232,91.6,104.2,474.9,9.0,25.3,39.0,0.9,0.0,1.0
233,85.6,9.9,28.9,5.4,35.0,44.0,17.0,0.2,1.0
234,91.0,129.5,692.6,7.0,18.7,43.0,2.7,0.0,1.0
235,90.1,68.6,355.2,7.2,24.8,29.0,2.2,0.0,1.0
236,93.4,15.0,25.6,11.4,15.2,19.0,7.6,0.0,0.0
237,84.7,15.5,45.1,4.3,35.0,42.0,15.0,0.3,1.0
238,85.0,9.0,56.9,3.5,10.1,62.0,1.8,0.0,1.0
239,92.1,207.0,672.6,8.2,27.9,33.0,2.2,0.0,1.0
240,64.6,4.4,8.2,1.0,32.0,67.0,14.0,4.5,0.0
241,95.1,141.3,605.8,17.7,24.1,43.0,6.3,0.0,1.0
242,92.2,102.3,751.5,8.4,24.1,27.0,3.1,0.0,0.0
243,79.9,4.5,16.0,2.5,31.0,55.0,16.0,0.1,0.0
244,93.1,157.3,666.7,13.5,26.8,25.0,3.1,0.0,1.0
245,94.3,85.1,692.3,15.9,20.1,47.0,4.9,0.0,1.0
246,74.2,7.0,8.3,1.6,33.0,59.0,16.0,0.8,0.0
247,62.0,2.6,8.4,1.1,30.0,73.0,17.0,0.9,0.0
248,90.0,51.3,296.3,8.7,16.6,53.0,5.4,0.0,1.0
249,91.9,133.6,520.5,8.0,14.2,58.0,4.0,0.0,0.0
250,69.7,7.2,9.8,1.2,34.0,63.0,13.0,2.9,0.0
251,88.7,22.9,92.8,7.2,33.0,50.0,14.0,0.0,1.0
252,78.0,5.8,10.0,1.7,35.0,55.0,12.0,0.4,0.0
253,80.2,20.7,149.2,2.7,35.0,53.0,17.0,0.5,1.0
254,93.7,102.2,550.3,14.6,22.1,54.0,7.6,0.0,1.0
255,94.8,227.0,706.7,12.0,23.3,34.0,3.1,0.0,0.0
256,90.6,50.1,100.4,7.8,15.2,31.0,8.5,0.0,1.0
257,91.6,248.4,753.8,6.3,16.6,59.0,2.7,0.0,0.0
258,93.4,145.4,721.4,8.1,28.6,27.0,2.2,0.0,1.0
259,91.0,14.6,25.6,12.3,13.7,33.0,9.4,0.0,1.0
260,89.4,9.8,33.1,6.8,32.0,49.0,11.0,0.0,1.0
261,94.3,167.6,684.4,13.0,21.8,53.0,3.1,0.0,1.0
262,93.7,231.1,715.1,8.4,18.9,64.0,4.9,0.0,1.0
263,92.1,99.0,745.3,9.6,12.8,64.0,3.6,0.0,1.0
264,91.8,170.9,692.3,13.7,23.7,40.0,1.8,0.0,1.0
265,89.2,103.9,431.6,6.4,22.6,57.0,4.9,0.0,1.0
266,91.3,20.6,43.5,8.5,13.3,27.0,3.6,0.0,1.0
267,81.0,6.3,31.6,2.6,30.0,78.0,14.0,0.0,1.0
268,86.2,17.9,36.7,4.8,37.0,36.0,13.0,0.6,1.0
269,91.4,142.4,601.4,10.6,19.6,41.0,5.8,0.0,1.0
270,71.0,2.6,16.6,1.2,29.0,88.0,13.0,0.0,0.0
271,96.0,127.1,570.5,16.5,23.4,33.0,4.5,0.0,1.0
272,91.6,108.4,764.0,6.2,23.0,34.0,2.2,0.0,1.0
273,84.9,47.0,200.2,4.4,33.0,82.0,21.0,0.0,1.0
274,80.8,3.4,24.0,2.8,29.0,75.0,16.0,0.0,1.0
275,78.3,10.8,19.7,1.6,35.0,58.0,10.0,0.2,0.0
276,92.1,207.0,672.6,8.2,21.1,54.0,2.2,0.0,0.0
277,88.7,16.0,50.2,6.9,32.0,51.0,13.0,0.0,1.0
278,91.2,124.4,795.3,8.5,17.1,41.0,2.2,0.0,1.0
279,92.4,105.8,758.1,9.9,16.0,45.0,1.8,0.0,0.0
280,72.6,7.0,25.5,0.7,28.0,76.0,21.0,0.0,0.0
281,91.5,130.1,807.1,7.5,21.3,35.0,2.2,0.0,1.0
282,84.7,8.2,55.0,2.9,14.2,46.0,4.0,0.0,0.0
283,42.6,1.2,7.5,0.1,25.0,78.0,15.0,3.8,0.0
284,87.7,6.4,24.3,6.2,31.0,52.0,14.0,0.0,1.0
285,96.1,181.1,671.2,14.3,33.3,26.0,2.7,0.0,1.0
286,77.5,7.1,8.8,1.8,32.0,47.0,14.0,0.7,0.0
287,93.5,149.3,728.6,8.1,27.8,27.0,3.1,0.0,1.0
288,93.4,17.3,28.3,9.9,13.8,24.0,5.8,0.0,0.0
289,81.9,3.0,7.9,3.5,13.4,75.0,1.8,0.0,0.0
290,96.1,181.1,671.2,14.3,32.3,27.0,2.2,0.0,1.0
291,62.2,3.9,8.0,1.1,31.0,69.0,17.0,4.7,0.0
292,90.9,18.9,30.6,8.0,8.7,51.0,5.8,0.0,0.0
293,94.9,130.3,587.1,14.1,33.1,25.0,4.0,0.0,1.0
294,87.0,19.0,85.1,5.9,35.0,63.0,15.0,0.0,1.0
295,67.3,3.8,16.5,1.2,24.0,64.0,15.0,0.2,0.0
296,93.7,231.1,715.1,8.4,26.4,33.0,3.6,0.0,0.0
297,91.7,48.5,696.1,11.1,16.8,45.0,4.5,0.0,1.0
298,85.2,11.3,10.4,4.2,39.0,45.0,13.0,0.6,1.0
299,93.7,17.1,32.1,17.2,39.0,33.0,17.0,0.0,1.0
300,45.0,1.9,7.5,0.2,25.0,78.0,14.0,1.4,0.0
301,92.6,115.4,777.1,8.8,24.3,27.0,4.9,0.0,0.0
302,84.6,26.4,352.0,2.0,5.1,61.0,4.9,0.0,1.0
303,91.1,91.3,738.1,7.2,19.1,46.0,2.2,0.0,1.0
304,91.6,181.3,613.0,7.6,24.8,36.0,4.0,0.0,1.0
305,91.6,108.4,764.0,6.2,22.7,35.0,2.2,0.0,1.0
306,81.8,9.7,37.2,3.0,34.0,81.0,15.0,0.0,0.0
307,92.1,51.3,147.7,12.2,35.0,38.0,15.0,0.0,1.0
308,90.1,82.9,735.7,6.2,18.3,45.0,2.2,0.0,1.0
309,89.1,27.8,168.2,9.8,30.0,59.0,19.0,0.0,1.0
310,93.1,157.3,666.7,13.5,21.7,40.0,0.4,0.0,1.0
311,80.8,9.8,9.7,3.1,35.0,47.0,18.0,6.0,1.0
312,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,1.0
313,91.0,276.3,825.1,7.1,13.8,77.0,7.6,0.0,0.0
314,82.7,32.7,96.8,3.3,35.0,66.0,15.0,0.1,1.0
315,60.2,3.8,8.0,0.8,31.0,72.0,14.0,0.2,0.0
316,91.1,94.1,232.1,7.1,19.2,38.0,4.5,0.0,0.0
317,91.6,108.4,764.0,6.2,9.8,86.0,1.8,0.0,0.0
318,86.2,8.3,18.4,5.0,32.0,55.0,14.0,0.0,1.0
319,92.8,119.0,783.5,7.5,21.6,28.0,6.3,0.0,1.0
320,90.6,269.8,811.2,5.5,22.2,45.0,3.6,0.0,0.0
321,88.3,16.9,45.1,7.5,35.0,34.0,16.0,0.2,1.0
322,18.7,1.1,171.4,0.0,5.2,100.0,0.9,0.0,0.0
323,92.1,99.0,745.3,9.6,19.8,47.0,2.7,0.0,1.0
324,92.2,102.3,751.5,8.4,19.7,35.0,1.8,0.0,0.0
325,91.9,109.2,565.5,8.0,21.4,38.0,2.7,0.0,1.0
326,37.3,1.1,7.8,0.0,30.0,89.0,16.0,0.6,0.0
327,90.6,50.1,100.4,7.8,15.1,64.0,4.0,0.0,1.0
328,88.3,23.6,52.5,19.0,34.0,42.0,17.0,0.1,1.0
329,92.4,124.1,680.7,8.5,16.9,60.0,1.3,0.0,1.0
330,65.5,4.6,8.3,0.9,33.0,62.0,10.0,8.7,0.0
331,40.9,1.3,7.5,0.1,25.0,86.0,21.0,4.6,0.0
332,87.1,291.3,860.6,4.0,17.0,67.0,4.9,0.0,1.0
333,91.6,248.4,753.8,6.3,16.8,56.0,3.1,0.0,0.0
334,64.4,4.1,7.6,1.0,29.0,61.0,13.0,1.3,0.0
335,89.1,25.5,88.5,7.6,32.0,55.0,14.0,0.0,1.0
336,87.9,84.8,725.1,3.7,21.8,34.0,2.2,0.0,1.0
337,91.6,108.4,764.0,6.2,20.4,41.0,1.8,0.0,1.0
338,44.9,0.9,7.3,0.2,24.0,82.0,15.0,0.4,0.0
339,93.7,80.9,685.2,17.9,23.7,25.0,4.5,0.0,1.0
340,95.1,141.3,605.8,17.7,26.4,34.0,3.6,0.0,1.0
341,56.1,2.1,8.4,0.7,30.0,77.0,15.0,1.0,0.0
342,94.5,139.4,689.1,20.0,29.2,30.0,4.9,0.0,1.0
343,79.9,18.4,84.4,2.2,32.0,47.0,13.0,0.3,0.0
344,85.3,10.0,17.0,4.9,35.0,68.0,16.0,0.0,1.0
345,84.4,73.4,671.9,3.2,24.3,36.0,3.1,0.0,1.0
346,91.0,129.5,692.6,7.0,20.7,37.0,2.2,0.0,1.0
347,90.1,39.7,86.6,6.2,15.2,27.0,3.1,0.0,1.0
348,92.1,99.0,745.3,9.6,17.4,57.0,4.5,0.0,0.0
349,85.4,12.1,43.1,4.6,31.0,68.0,14.0,0.0,1.0
350,87.4,11.2,20.2,5.2,37.0,56.0,11.0,0.0,1.0
351,89.3,51.3,102.2,9.6,11.5,39.0,5.8,0.0,1.0
352,91.7,35.8,80.8,7.8,17.0,27.0,4.9,0.0,1.0
353,92.2,23.6,97.3,13.8,35.0,34.0,17.0,0.0,1.0
354,91.9,111.7,770.3,6.5,15.7,51.0,2.2,0.0,0.0
355,89.4,13.3,22.5,8.4,30.0,41.0,15.0,0.0,1.0
356,93.5,149.3,728.6,8.1,22.9,39.0,4.9,0.0,1.0
357,92.2,81.8,480.8,11.9,20.1,34.0,4.5,0.0,1.0
358,90.7,194.1,643.0,6.8,16.2,63.0,2.7,0.0,1.0
359,79.5,18.7,88.0,2.1,34.0,58.0,13.0,0.2,0.0
360,96.1,181.1,671.2,14.3,20.7,69.0,4.9,0.4,0.0
361,92.2,102.3,751.5,8.4,24.2,27.0,3.1,0.0,1.0
362,84.6,3.2,43.6,3.3,8.2,53.0,9.4,0.0,1.0
363,91.6,181.3,613.0,7.6,20.9,50.0,2.2,0.0,1.0
364,82.4,15.6,92.5,3.7,36.0,55.0,13.0,0.3,1.0
365,69.6,3.2,30.1,1.5,31.0,71.0,17.0,0.3,0.0
